31_1_1 100 158
31_1_1 245 449

31_2_1 100 364
31_2_1 1875 2603
31_2_1 2681 2970
31_2_1 3061 3174
31_2_1 3247 3305
31_2_1 3410 3438
31_2_1 4230 4322
31_2_1 4397 4545

31_3_1 100 250
31_3_1 379 488
31_3_1 606 787
31_3_1 991 1126
31_3_1 1216 1464

31_4_1 100 196
31_4_1 890 1023
31_4_1 1565 1670
31_4_1 2070 2155
31_4_1 2491 2679
31_4_1 3192 3365
31_4_1 3481 3594
31_4_1 3730 3984

31_5_1 100 400
31_5_1 490 601
31_5_1 1353 1725

31_6_1 100 252
31_6_1 458 506
31_6_1 582 1216

31_7_1 100 771
31_7_1 878 1084
31_7_1 1434 1604
31_7_1 2029 2121

31_8_1 100 216
31_8_1 792 1043
31_8_1 1131 1274
31_8_1 1384 2103
31_8_1 2565 2831

32_9_1 100 384
32_9_1 467 607
32_9_1 696 767
32_9_1 866 994
32_9_1 1080 1136
32_9_1 1223 1324
32_9_1 1413 1490
32_9_1 1585 1725
32_9_1 1821 1913
32_9_1 2027 2077

32_10_1 100 240
32_10_1 335 415
32_10_1 751 819
32_10_1 893 956
32_10_1 1307 1386
32_10_1 1470 1553
32_10_1 1714 1798
32_10_1 1920 2005
32_10_1 2110 2231
32_10_1 2794 2854
32_10_1 3166 3264
32_10_1 3350 3451
32_10_1 3613 3654
32_10_1 3761 3880

32_14_1 100 244
32_14_1 457 578
32_14_1 708 829
32_14_1 944 1048
32_14_1 1136 1226
32_14_1 1323 1466
32_14_1 1584 1952
32_14_1 2071 2268

32_15_1 100 528

32_17_1 100 588

32_18_1 100 636
32_18_1 1072 1958
32_18_1 2087 2135

33_19_1 100 1635

33_20_1 100 1338

37_21_1 100 368
37_21_1 446 509
37_21_1 622 725
37_21_1 1073 1172
37_21_1 1278 1354
37_21_1 1723 1822
37_21_1 2046 2117
37_21_1 2271 2339
37_21_1 2552 2860

37_22_1 100 534

37_24_1 100 1419

37_25_1 100 894
37_25_1 2687 2857
37_25_1 3262 3465
37_25_1 3855 4085

37_26_1 100 602
37_26_1 1402 1521
37_26_1 1795 1910
37_26_1 2006 2106
37_26_1 2198 2304
37_26_1 2469 2541
37_26_1 2820 2987
37_26_1 3083 3170
37_26_1 3640 3757
37_26_1 3839 4052
37_26_1 4294 4377

37_28_1 100 402
37_28_1 887 1366
37_28_1 3016 3297

38_30_1 100 229
38_30_1 353 475
38_30_1 835 2084

38_31_1 100 447
38_31_1 1078 1419

39_32_1 100 233
39_32_1 412 520
39_32_1 648 752
39_32_1 839 916
39_32_1 1516 1571
39_32_1 1965 2022
39_32_1 2325 2450
39_32_1 3495 3590
39_32_1 3708 3779
39_32_1 4406 4468

39_33_1 100 142
39_33_1 1951 2109
39_33_1 2194 2369
39_33_1 2693 2970
39_33_1 3066 3201
39_33_1 3311 3422
39_33_1 3549 3643

39_34_1 100 232
39_34_1 328 457
39_34_1 1728 2295

39_36_1 100 102
39_36_1 882 969
39_36_1 2055 2185
39_36_1 2309 2437

39_37_1 100 167
39_37_1 295 427
39_37_1 561 722
39_37_1 1401 1691
39_37_1 2286 2429

41_38_1 100 1650

41_39_1 100 1725

41_41_1 100 1470

41_42_1 100 159
41_42_1 301 417
41_42_1 551 620
41_42_1 722 873
41_42_1 1747 1848
41_42_1 2062 2262
41_42_1 2359 2421
41_42_1 2546 2701
41_42_1 2823 2897
41_42_1 3011 3127

42_43_1 100 351
42_43_1 953 1202
42_43_1 1320 2533
42_43_1 2996 3146
42_43_1 3361 3677

42_44_1 100 108
42_44_1 222 319
42_44_1 1272 1588
42_44_1 1722 2173

42_45_1 100 180
42_45_1 266 376
42_45_1 503 559
42_45_1 690 766
42_45_1 874 973
42_45_1 1644 1717
42_45_1 2322 2422
42_45_1 2652 2755
42_45_1 3378 3431
42_45_1 3714 3769
42_45_1 3853 3891
42_45_1 3982 4123
42_45_1 4227 4411
42_45_1 4968 5035
42_45_1 5253 5325
42_45_1 5465 5526
42_45_1 5683 6964
42_45_1 7202 7460

43_46_1 100 274
43_46_1 353 635
43_46_1 1848 2187

43_47_1 100 234
43_47_1 353 452
43_47_1 548 570
43_47_1 789 878
43_47_1 1166 1492

43_48_1 100 153
43_48_1 708 820
43_48_1 910 964
43_48_1 1065 1120
43_48_1 1374 1421
43_48_1 1626 1674
43_48_1 1777 1860
43_48_1 1987 2054
43_48_1 2151 2276
43_48_1 2371 2446
43_48_1 2591 2674

43_49_1 100 234
43_49_1 884 932
43_49_1 1060 1259
43_49_1 1986 2294

43_50_1 100 186
43_50_1 293 481
43_50_1 602 721
43_50_1 869 933
43_50_1 1096 1240
43_50_1 1716 3749
43_50_1 4316 4437
43_50_1 4539 4725

380_51_1 100 594

380_52_1 100 531

382_53_1 100 781
382_53_1 1115 1258
382_53_1 1341 1493
382_53_1 1671 1786
382_53_1 2423 2587
382_53_1 2889 3110
382_53_1 3680 3802

382_54_1 100 2598

382_55_1 100 2145

382_56_1 100 113
382_56_1 210 789
382_56_1 900 1961
382_56_1 2208 2390
382_56_1 2689 2776
382_56_1 2862 3109
382_56_1 3289 3675

382_57_1 100 188
382_57_1 2027 2264
382_57_1 2369 2630
382_57_1 2728 2930
382_57_1 3025 3253
382_57_1 3351 3457

382_58_1 100 297
382_58_1 535 651
382_58_1 807 867
382_58_1 1043 1131
382_58_1 1438 1512
382_58_1 1591 1679
382_58_1 2142 2191
382_58_1 2431 2471
382_58_1 2574 2747
382_58_1 3049 3084
382_58_1 3170 3237
382_58_1 3323 3383
382_58_1 3551 4018

385_59_1 100 357
385_59_1 902 1666

385_60_1 100 412
385_60_1 515 546

385_61_1 100 1641

385_62_1 100 176
385_62_1 1233 1325
385_62_1 1631 1724
385_62_1 1805 1842
385_62_1 2058 2161
385_62_1 2735 2814
385_62_1 2887 2943
385_62_1 3064 3156
385_62_1 3240 3314
385_62_1 3691 3807

385_63_1 100 342
385_63_1 1312 1573
385_63_1 2086 2266
385_63_1 2594 2741
385_63_1 3289 3493
385_63_1 3757 3815

385_64_1 100 681

385_65_1 100 1875

385_66_1 100 370
385_66_1 1534 1757
385_66_1 1895 2145
385_66_1 2231 2609
385_66_1 2796 3227

387_68_1 100 401
387_68_1 1644 1796
387_68_1 1971 2106
387_68_1 2356 2457
387_68_1 2612 2731
387_68_1 2856 2936
387_68_1 3090 3430
387_68_1 3522 3767
387_68_1 3895 4219
387_68_1 4337 4570
387_68_1 4677 5069

387_69_1 100 141
387_69_1 244 350
387_69_1 428 506
387_69_1 597 656
387_69_1 757 823
387_69_1 909 1033
387_69_1 1140 1241
387_69_1 1333 1701
